epochs,valid_recall,test_recall,valid_ndcg,test_ndcg
0,0.027546195,0.026846033,0.07097225,0.07331009
5,0.101258524,0.10290319,0.24637766,0.24695781
10,0.11146374,0.11151581,0.2686526,0.26884243
15,0.11602901,0.114017025,0.2791775,0.276596
20,0.11781333,0.11702349,0.28673753,0.28645638
25,0.12160955,0.1226747,0.29637367,0.29762453
30,0.12698023,0.12697618,0.30553696,0.3061375
35,0.1316297,0.13170408,0.31688893,0.31551063
40,0.13595945,0.13677618,0.32631728,0.32655066
45,0.13797651,0.14215441,0.33416122,0.33639973
50,0.1409135,0.14412186,0.3399307,0.34152153
55,0.14300236,0.14607081,0.3456652,0.34641507
60,0.14510068,0.14801243,0.34843963,0.35019282
65,0.1468429,0.14886937,0.3507993,0.35196087
70,0.14775807,0.14930934,0.35258612,0.35397848
75,0.14876758,0.15004107,0.35318083,0.35558888
80,0.14908111,0.15061444,0.3552816,0.3561375
85,0.14904912,0.14927347,0.3563759,0.35554287
90,0.14795883,0.14966032,0.35452682,0.35520726
95,0.14920262,0.14905207,0.35502076,0.35484475
100,0.14974958,0.14845948,0.35638344,0.35463658
105,0.14972445,0.14847387,0.35654062,0.35379538
110,0.14943905,0.14794372,0.3561256,0.3536184
115,0.14932351,0.14813574,0.35562894,0.3520081
120,0.14885986,0.14649622,0.354903,0.35023382
125,0.14815506,0.14652002,0.35252324,0.34952396
130,0.14777514,0.14680284,0.35154375,0.34849536
135,0.14730792,0.14695291,0.35019007,0.3484484
140,0.1474767,0.14709906,0.3508068,0.3492086
145,0.14739783,0.146091,0.3494451,0.3472961
150,0.14659424,0.14551598,0.34877187,0.34597743
155,0.14706469,0.14581735,0.34865737,0.34558278
160,0.14590935,0.14498854,0.3466918,0.34410244
165,0.14605623,0.1441319,0.34591848,0.34340924
170,0.14529096,0.14416824,0.3449658,0.34167022
175,0.14495066,0.14306115,0.34325266,0.34015438
180,0.1443168,0.14326398,0.34268105,0.34031406
